Model Number,Company,Display Size,Display Type,Display Protection Type,Total Storage,Storage Type,Total RAM,RAM Type,Processor,Battery Capacity,Front Camera MP,Front Dual Camera MP,Back Camera MP,Wide Camera MP,Micro Camera MP,Body Type,Body Back,Wireless Charging,NFC Support,Price (USD)
Apple-1366,Apple,6.1,OLED,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A16 Bionic,5500,20,8.0,108,8,5,Glass,Polycarbonate back,True,False,1452
Apple-5250,Apple,5.4,OLED,Gorilla Glass,512,eMMC 5.1,12,LPDDR5,A16 Bionic,6000,16,,16,20,5,Glass,Leather back,True,False,886
Apple-9300,Apple,6.7,IPS LCD,Ion-strengthened glass,256,eMMC 5.1,8,LPDDR5,A16 Bionic,5000,8,8.0,16,20,5,Glass,Plastic,False,False,889
Apple-2342,Apple,5.4,IPS LCD,Scratch-resistant glass,128,NVMe,12,LPDDR5,A17 Pro,6000,12,16.0,108,12,8,Polycarbonate,Polycarbonate back,True,True,1328
Apple-5441,Apple,6.5,IPS LCD,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR5,A13 Bionic,6000,16,,48,8,12,Metallic,Polycarbonate back,True,False,1329
Apple-6462,Apple,6.5,IPS LCD,Gorilla Glass,512,UFS 3.1,12,LPDDR5,A17 Pro,5000,20,,108,20,8,Polycarbonate,Plastic,True,True,1610
Apple-3862,Apple,7.0,Super Retina XDR,Ceramic Shield,512,eMMC 5.1,12,LPDDR5,A15 Bionic,5000,12,16.0,48,16,5,Polycarbonate,Plastic,False,False,1209
Apple-9267,Apple,6.1,OLED,Scratch-resistant glass,128,UFS 3.1,8,LPDDR4X,A13 Bionic,4000,16,16.0,12,20,2,Polycarbonate,Plastic,True,False,1425
Apple-5527,Apple,6.1,OLED,Ion-strengthened glass,256,NVMe,8,LPDDR5,A16 Bionic,5000,16,16.0,16,8,8,Polycarbonate,Plastic,True,False,1284
Apple-6113,Apple,7.0,OLED,Scratch-resistant glass,64,UFS 3.1,8,LPDDR5,A13 Bionic,5500,12,8.0,108,12,2,Plastic,Leather back,False,True,799
Apple-8712,Apple,6.7,Super Retina XDR,Ceramic Shield,512,eMMC 5.1,6,LPDDR5,A15 Bionic,4500,12,12.0,48,20,12,Glass,Glass back,False,False,1903
Apple-9355,Apple,5.4,IPS LCD,Gorilla Glass,1024,UFS 3.1,12,LPDDR4X,A13 Bionic,4000,8,12.0,48,12,8,Glass,Polycarbonate back,True,False,763
Apple-1430,Apple,6.1,Liquid Retina,Scratch-resistant glass,256,eMMC 5.1,6,LPDDR5,A14 Bionic,5500,12,16.0,108,12,12,Plastic,Leather back,False,False,1905
Apple-1943,Apple,7.0,Liquid Retina,Ceramic Shield,1024,eMMC 5.1,4,LPDDR5,A17 Pro,6000,16,16.0,108,8,12,Polycarbonate,Plastic,False,True,1049
Apple-6962,Apple,6.5,Liquid Retina,Gorilla Glass,512,eMMC 5.1,4,LPDDR5,A14 Bionic,5500,12,8.0,48,12,5,Glass,Glass back,True,False,1235
Apple-6751,Apple,6.5,OLED,Ceramic Shield,64,UFS 3.1,12,LPDDR5,A16 Bionic,5500,12,16.0,48,12,12,Plastic,Plastic,True,False,1320
Apple-7189,Apple,6.5,OLED,Scratch-resistant glass,1024,UFS 3.1,8,LPDDR5,A15 Bionic,5500,8,8.0,48,12,5,Plastic,Glass back,True,True,1689
Apple-3666,Apple,6.7,Super Retina XDR,Ceramic Shield,128,NVMe,4,LPDDR5,A14 Bionic,6000,20,12.0,108,20,12,Polycarbonate,Polycarbonate back,False,False,1630
Apple-5716,Apple,6.7,Super Retina XDR,Ion-strengthened glass,256,NVMe,6,LPDDR5,A13 Bionic,5000,8,,108,12,8,Plastic,Leather back,False,True,1479
Apple-6688,Apple,6.7,Liquid Retina,Ceramic Shield,64,eMMC 5.1,4,LPDDR5,A15 Bionic,5000,20,16.0,12,12,2,Glass,Polycarbonate back,True,True,1120
Apple-3259,Apple,5.4,Super Retina XDR,Gorilla Glass,128,UFS 3.1,8,LPDDR5,A14 Bionic,4500,12,12.0,12,8,12,Metallic,Leather back,True,False,1099
Apple-3020,Apple,6.7,IPS LCD,Ion-strengthened glass,128,NVMe,4,LPDDR4X,A13 Bionic,4500,20,,16,16,12,Plastic,Plastic,True,True,1332
Apple-9191,Apple,6.5,IPS LCD,Ion-strengthened glass,64,UFS 3.1,8,LPDDR5,A17 Pro,4500,20,8.0,48,16,5,Polycarbonate,Plastic,False,False,1340
Apple-7849,Apple,6.7,Super Retina XDR,Scratch-resistant glass,64,UFS 3.1,12,LPDDR4X,A14 Bionic,4500,20,,64,16,8,Metallic,Polycarbonate back,False,False,1940
Apple-3583,Apple,5.4,Liquid Retina,Ion-strengthened glass,1024,UFS 3.1,6,LPDDR4X,A15 Bionic,4000,8,12.0,48,16,8,Polycarbonate,Leather back,False,False,1486
Apple-6854,Apple,7.0,OLED,Ceramic Shield,1024,NVMe,8,LPDDR5,A13 Bionic,4500,16,,64,8,8,Metallic,Glass back,True,True,1067
Apple-7636,Apple,6.5,OLED,Ion-strengthened glass,256,UFS 3.1,4,LPDDR5,A14 Bionic,5500,8,,64,12,8,Glass,Glass back,True,True,1734
Apple-6134,Apple,6.1,IPS LCD,Ion-strengthened glass,512,eMMC 5.1,8,LPDDR4X,A17 Pro,5500,20,12.0,12,16,12,Glass,Plastic,False,False,1960
Apple-1661,Apple,6.7,IPS LCD,Ceramic Shield,256,UFS 3.1,8,LPDDR4X,A16 Bionic,5500,20,,16,20,5,Plastic,Plastic,True,False,822
Apple-6903,Apple,6.7,Super Retina XDR,Gorilla Glass,512,NVMe,6,LPDDR4X,A14 Bionic,6000,8,12.0,48,8,8,Plastic,Plastic,True,True,1644
